emp_no,first_name,last_name,title,from_date,salary
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,60302
21909,Mohammed,Brizzi,Staff,1991-12-28,60302
22027,Sangeeta,Georg,Staff,1992-07-31,68981
22185,Huai,Birch,Assistant Engineer,1996-03-26,40000
22185,Huai,Birch,Engineer,2002-03-26,40000
22415,Perla,Jumpertz,Senior Staff,1994-08-24,69277
22926,Manibrata,Genther,Engineer,1988-01-15,56184
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,40000
22451,Jasminko,Bresenham,Staff,1987-12-16,40000
22455,Barry,Unno,Senior Staff,1999-11-16,69644
22455,Barry,Unno,Staff,1990-11-16,69644
22502,Rutger,Binkley,Senior Engineer,1989-10-16,57324
22926,Manibrata,Genther,Senior Engineer,1996-01-15,56184
24080,Jaana,Perez,Technique Leader,1996-03-11,47203
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,55806
24421,Dannz,Grospietsch,Senior Engineer,1990-09-01,48385
24189,Abdelaziz,Atrawala,Staff,1993-03-28,40000
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,49424
24377,Lubomir,Wroclawski,Engineer,1993-07-25,42900
24377,Lubomir,Wroclawski,Senior Engineer,2000-07-25,42900
24394,Zhonghui,Conta,Staff,1994-09-10,55035
24553,Anwar,Passafiume,Senior Staff,1994-01-30,58459
24553,Anwar,Passafiume,Staff,1987-01-30,58459
24571,Cordelia,Gischer,Engineer,1989-03-14,40000
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,40000
26476,Bilhanan,Karcich,Staff,1996-04-09,69850
25488,Ingmar,Basawa,Senior Staff,1997-11-08,40851
25488,Ingmar,Basawa,Staff,1991-11-09,40851
26503,Shietung,Billingsley,Senior Staff,1998-11-07,82404
26671,Jiakeng,Kalorkoti,Engineer,1994-12-25,68039
26671,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,68039
26788,Zongyan,Dalphin,Engineer,1988-04-23,40000
26617,Berto,Bruckman,Engineer,1991-11-23,46589
26788,Zongyan,Dalphin,Senior Engineer,1993-04-23,40000
27150,Chenyi,Plump,Staff,1992-06-23,77037
26629,Nevin,Rodham,Senior Staff,1998-12-14,50836
27331,Wanqing,Krohm,Senior Staff,1999-01-22,40000
27331,Wanqing,Krohm,Staff,1991-01-22,40000
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,48227
27620,Shuji,Kandlur,Engineer,1990-03-02,40000
27620,Shuji,Kandlur,Senior Engineer,1997-03-02,40000
27767,Tooru,Veldwijk,Senior Staff,2000-11-21,40000
27767,Tooru,Veldwijk,Staff,1993-11-21,40000
27970,KayLiang,Miyakawa,Technique Leader,1995-11-22,40000
27686,Manu,Rosiles,Senior Staff,1998-03-03,62592
27699,Falguni,Pezzoli,Engineer,1996-12-23,67505
28193,Xinglin,Mitsuhashi,Engineer,1988-12-14,40490
28193,Xinglin,Mitsuhashi,Senior Engineer,1997-12-14,40490
28988,Tua,Giveon,Technique Leader,1998-09-09,47185
28222,Mayuko,Vitiello,Technique Leader,1993-12-22,40000
29130,Xumin,Thorensen,Staff,1998-04-26,67033
29265,Gilbert,Calkin,Senior Staff,1994-03-21,40000
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,40000
29265,Gilbert,Calkin,Staff,1988-03-21,40000
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,57496
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,45222
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,48212
30007,Kousuke,Vecchio,Engineer,1990-02-23,56378
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,44381
30007,Kousuke,Vecchio,Senior Engineer,1999-02-23,56378
30035,Tetsushi,Conta,Senior Staff,1995-07-04,45843
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,40000
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,40000
30465,Randi,Avouris,Engineer,1986-07-16,41895
30182,Leon,Potthoff,Engineer,1985-12-08,61572
30182,Leon,Potthoff,Senior Engineer,1993-12-08,61572
30465,Randi,Avouris,Senior Engineer,1991-07-16,41895
30484,Sailaja,Chvatal,Staff,1999-05-18,62692
30552,Yishai,Terlouw,Engineer,1986-09-19,40000
30552,Yishai,Terlouw,Senior Engineer,1992-09-18,40000
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,42052
30938,Yakkov,Samarati,Senior Staff,2000-05-22,43593
30938,Yakkov,Samarati,Staff,1995-05-23,43593
31147,Divine,Sidhu,Senior Staff,1989-07-05,54305
31170,Tuval,Waleschkowski,Senior Staff,1987-10-16,54779
31188,Leandro,Gist,Technique Leader,1993-02-03,40000
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,40000
31514,Harngdar,Schapire,Engineer,1996-11-09,62415
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,62415
31568,Mark,Lalonde,Staff,1996-11-24,67061
31341,Oksana,Zultner,Senior Staff,1997-03-22,53219
31341,Oksana,Zultner,Staff,1991-03-23,53219
31599,Qingxiang,Gewali,Engineer,1997-09-22,40000
31629,Toong,Veldwijk,Assistant Engineer,1986-07-28,73023
31629,Toong,Veldwijk,Engineer,1995-07-28,73023
32347,Terresa,Peres,Senior Staff,1997-09-15,66965
31909,Murthy,Peek,Engineer,1994-07-19,46224
32552,Atreye,Stanger,Assistant Engineer,1993-09-10,50710
32552,Atreye,Stanger,Engineer,1999-09-10,50710
32622,Piyush,Paciorek,Staff,1991-04-07,40000
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,51124
32714,Radoslaw,Maliniak,Staff,1997-11-17,82622
32844,Tadahiko,Melton,Engineer,1995-01-07,48091
32347,Terresa,Peres,Staff,1990-09-15,66965
33025,Jessie,Thorelli,Senior Staff,1999-12-16,40000
33215,Steen,Fasbender,Technique Leader,1993-02-14,48797
33722,Anwar,Collette,Senior Engineer,1994-03-22,40000
33293,Adamantios,Vanwelkenhuysen,Assistant Engineer,1994-01-11,40000
33293,Adamantios,Vanwelkenhuysen,Engineer,2000-01-11,40000
33606,Clyde,Swift,Staff,1994-11-14,61733
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,40000
34077,Angel,Sichman,Senior Staff,1997-11-16,50005
34077,Angel,Sichman,Staff,1988-11-16,50005
34261,Kyoichi,Callaway,Staff,1990-12-30,40000
34780,Moni,Kohling,Staff,1994-07-21,64125
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,40000
34452,Naftaly,Foong,Engineer,1991-05-10,50679
34452,Naftaly,Foong,Senior Engineer,2000-05-09,50679
34505,Felicidad,Kumaresan,Senior Staff,2001-09-06,87384
34505,Felicidad,Kumaresan,Staff,1994-09-06,87384
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,40829
34788,Ennio,Babu,Senior Engineer,1994-08-31,58068
35441,Chandrasekaran,Peek,Engineer,1988-02-07,48152
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,65899
35044,Jiang,Waschkowski,Engineer,1989-05-27,52310
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,52310
35087,Leif,Ashish,Senior Staff,2001-10-14,40000
35087,Leif,Ashish,Staff,1994-10-14,40000
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,48152
35793,Oscar,Kusalik,Senior Staff,1996-05-10,56473
35642,Ashish,Talmon,Engineer,1995-06-13,40000
35793,Oscar,Kusalik,Staff,1991-05-11,56473
35798,Ulf,Oberman,Senior Engineer,1997-03-15,41160
35642,Ashish,Talmon,Senior Engineer,2002-06-13,40000
36626,Fen,Genin,Senior Staff,1986-05-09,48437
36733,Uma,Reinhard,Staff,1997-11-01,40000
36521,Serif,Gladwell,Senior Staff,1993-03-05,57111
36521,Serif,Gladwell,Staff,1987-03-06,57111
37592,Berni,Stranks,Engineer,1985-11-05,69900
36844,Hailing,Levergood,Staff,2000-01-12,57007
36982,Kotesh,Rajala,Engineer,1992-06-23,40000
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,40000
37070,Jeong,Undy,Senior Staff,1993-02-13,43215
37070,Jeong,Undy,Staff,1985-02-13,43215
37719,Nakhoon,Buescher,Assistant Engineer,1988-06-12,51093
37719,Nakhoon,Buescher,Engineer,1997-06-12,51093
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,40000
38017,Ulf,Himler,Staff,1994-01-02,40977
38043,Michaela,Randi,Engineer,1985-11-23,49927
38043,Michaela,Randi,Senior Engineer,1994-11-23,49927
38168,Fumiko,Deverell,Senior Staff,1996-08-14,40000
38103,Masasuke,Babu,Engineer,1988-03-31,48383
38103,Masasuke,Babu,Senior Engineer,1993-03-31,48383
38168,Fumiko,Deverell,Staff,1987-08-15,40000
38550,JoAnne,Baez,Senior Engineer,1987-02-16,40000
38593,Huei,Orsini,Engineer,1986-06-04,60124
38593,Huei,Orsini,Senior Engineer,1995-06-04,60124
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,40000
38947,Shuichi,Ruemmler,Staff,1991-03-08,40000
39000,Martijn,Vendrig,Senior Staff,2002-03-03,48649
39036,Changho,Cappelli,Staff,1996-05-04,40000
39000,Martijn,Vendrig,Staff,1997-03-03,48649
39268,Constantijn,Awdeh,Engineer,1987-10-20,52535
39301,Rimon,Kawashima,Senior Staff,1998-02-05,40000
39301,Rimon,Kawashima,Staff,1992-02-06,40000
39952,Otmar,Sudbeck,Staff,1998-07-22,80468
39341,Mahmut,Lampe,Engineer,1985-05-11,50645
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,50645
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,70370
40269,Toshiki,Ghazalie,Staff,1991-12-05,70370
40283,Sudhanshu,Boissier,Engineer,1985-05-11,40000
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,40000
40301,Spyrose,Felder,Senior Engineer,1996-06-16,40000
40648,Wayne,Erev,Staff,1990-09-19,91874
40536,Harngdar,Bernardinello,Engineer,1988-02-29,49948
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,49948
40983,Marla,Cherinka,Technique Leader,1986-12-01,40000
40765,Michaela,Ramsak,Senior Staff,2001-12-21,51758
40765,Michaela,Ramsak,Staff,1992-12-21,51758
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,40000
40773,Shimshon,Aingworth,Staff,1986-04-13,40000
40785,Youpyo,Castellani,Engineer,1998-09-04,49404
41114,Petter,Thummel,Technique Leader,1995-12-24,60729
41137,Bikash,Buchter,Senior Staff,1992-11-22,71921
41137,Bikash,Buchter,Staff,1987-11-23,71921
41357,Willard,Vernadat,Engineer,1997-03-04,59086
41518,Keung,Schapiro,Senior Engineer,1998-04-19,47399
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,44818
41552,Uno,Heyers,Engineer,1990-09-28,46811
41552,Uno,Heyers,Senior Engineer,1999-09-28,46811
42778,Shuji,Remmers,Senior Staff,1996-12-17,40000
41609,Yucai,Simmen,Senior Staff,1987-10-13,60396
42778,Shuji,Remmers,Staff,1987-12-18,40000
43154,Maha,Waterhouse,Senior Staff,2002-07-04,69813
42911,Brigham,Eterovic,Engineer,1994-10-08,40181
42911,Brigham,Eterovic,Senior Engineer,1999-10-08,40181
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,40000
42955,Yucel,Lortz,Engineer,1995-02-21,40000
43154,Maha,Waterhouse,Staff,1997-07-04,69813
43358,Ottavia,Mitsuhashi,Staff,1989-08-18,63651
43848,Phillip,Oxenboll,Engineer,1999-05-26,40000
44900,Mark,Schwaller,Senior Staff,2001-08-10,47805
43733,Huei,Boguraev,Senior Staff,1998-12-31,40000
43733,Huei,Boguraev,Staff,1993-12-31,40000
44054,Alenka,Ritcey,Engineer,1997-02-09,40000
44265,Maria,Eppinger,Engineer,1997-01-30,52444
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,40000
44900,Mark,Schwaller,Staff,1994-08-10,47805
45162,Dulce,Speel,Engineer,1987-10-19,58610
44959,Volkmar,Uhrik,Engineer,1988-01-16,60432
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,60432
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,40000
45162,Dulce,Speel,Senior Engineer,1996-10-18,58610
46000,Zhaofang,Penn,Senior Staff,2002-07-24,40000
45590,Masoud,Genin,Technique Leader,1991-02-16,42484
46000,Zhaofang,Penn,Staff,1997-07-24,40000
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,76950
46015,Weiye,Masand,Staff,1995-07-24,66067
46222,Mrinalini,Strooper,Staff,1990-03-05,64880
46531,Yaghout,Peng,Assistant Engineer,1995-10-02,59370
46811,Junsik,Berendt,Senior Engineer,1988-04-27,52228
46834,Tooru,Daescu,Senior Staff,1998-03-20,82569
47016,Toong,Litecky,Senior Staff,1994-03-01,58961
46943,Pasqua,Maraist,Engineer,1993-12-06,46091
46943,Pasqua,Maraist,Senior Engineer,1998-12-06,46091
47016,Toong,Litecky,Staff,1989-03-01,58961
47262,Gonzalo,Binkley,Engineer,1985-08-16,40000
47139,Marco,Usdin,Engineer,1996-10-29,67283
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,40000
47702,Juyoung,Vieri,Senior Staff,1999-08-12,84625
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,50098
47702,Juyoung,Vieri,Staff,1991-08-12,84625
47708,Edwin,Haldar,Senior Staff,1995-07-12,76137
48690,Hitomi,Schaap,Staff,1999-09-27,47581
48275,Sariel,Massonet,Senior Staff,1993-11-19,67799
48275,Sariel,Massonet,Staff,1987-11-20,67799
48882,Leen,Lamparter,Engineer,1993-06-07,40000
48882,Leen,Lamparter,Senior Engineer,2001-06-07,40000
48904,Yuichiro,Malabarba,Senior Staff,1999-03-07,58807
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,57836
48904,Yuichiro,Malabarba,Staff,1994-03-07,58807
49119,Lena,Peek,Engineer,1991-05-16,55051
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,63422
49010,Kazuhisa,Benantar,Staff,1989-10-23,63422
49017,Filipp,Flanders,Engineer,1990-11-26,46622
49017,Filipp,Flanders,Senior Engineer,1999-11-26,46622
49119,Lena,Peek,Senior Engineer,1997-05-15,55051
49464,Siddarth,Cappelletti,Staff,1999-09-10,73678
49177,Tze,Bach,Engineer,1999-03-09,44995
49477,Baocai,Leaver,Senior Staff,1998-08-05,40000
50293,Xinan,Rindone,Engineer,1996-10-08,40000
50311,Mooi,Stafford,Senior Engineer,1996-10-06,40000
50453,Aron,Harbusch,Staff,1997-10-02,79402
50587,Slavian,Yemenis,Technique Leader,1993-08-06,70767
50360,Sumali,Kushner,Engineer,1999-10-30,41121
51118,Fumiko,Mundy,Staff,1998-09-22,56519
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,64895
50670,Boguslaw,Snedden,Staff,1985-02-20,64895
50831,Marie,Khalid,Senior Engineer,1990-10-27,52845
51036,Chriss,Fasbender,Staff,1995-05-23,55121
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,58337
51057,Theirry,Albarhamtoshy,Staff,1991-09-27,58337
51060,Youngkon,Rohrbach,Engineer,1989-10-20,42308
51060,Youngkon,Rohrbach,Senior Engineer,1998-10-20,42308
51142,Rosine,Lakshmanan,Engineer,1986-01-31,46516
51142,Rosine,Lakshmanan,Senior Engineer,1991-01-31,46516
52038,Chikako,Armand,Senior Engineer,1985-05-18,52102
51502,Slavian,Munawer,Senior Staff,1999-08-06,72237
51868,Remmert,Munke,Assistant Engineer,1991-09-22,55988
52040,Phule,Heijenga,Senior Staff,1998-02-21,40000
52040,Phule,Heijenga,Staff,1992-02-22,40000
52386,Adas,Denti,Senior Staff,1995-05-30,65342
52283,Trygve,Krupka,Senior Staff,2001-03-11,44232
52283,Trygve,Krupka,Staff,1994-03-11,44232
52386,Adas,Denti,Staff,1986-05-30,65342
52590,Jouni,Munoz,Senior Staff,2000-11-25,45171
52590,Jouni,Munoz,Staff,1995-11-26,45171
52599,Augustine,Mungall,Engineer,1987-08-31,48897
52599,Augustine,Mungall,Senior Engineer,1996-08-30,48897
52639,Arup,Colorni,Senior Staff,1996-02-05,69976
52770,Shugo,Yurek,Senior Staff,1998-08-28,65588
52770,Shugo,Yurek,Staff,1992-08-28,65588
52778,Alain,Penn,Technique Leader,1986-05-03,46041
52956,Khalil,Picci,Engineer,1987-03-21,40000
52956,Khalil,Picci,Senior Engineer,1992-03-20,40000
52970,Lobel,Werthner,Engineer,1988-03-17,47552
52970,Lobel,Werthner,Senior Engineer,1997-03-17,47552
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,60379
53088,Mechthild,Lamma,Engineer,1986-05-19,40000
53088,Mechthild,Lamma,Senior Engineer,1992-05-18,40000
53278,Premsyl,Lortz,Senior Staff,1999-02-01,67503
53278,Premsyl,Lortz,Staff,1993-02-01,67503
53499,Zdislav,Mandelberg,Engineer,1994-09-11,40000
53314,Eberhardt,Carrera,Staff,1999-02-23,40000
53499,Zdislav,Mandelberg,Senior Engineer,2000-09-10,40000
53874,Bodo,Schade,Senior Staff,1995-02-14,51955
53597,Jiafu,Marchegay,Engineer,1985-03-02,41626
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,41626
53746,Manu,Erva,Staff,1989-03-17,63132
53874,Bodo,Schade,Staff,1986-02-14,51955
53891,Olivera,Pargaonkar,Staff,1989-03-13,50046
53924,Arnould,Gaughan,Engineer,1991-01-23,40000
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,40000
54795,Sumant,Nergos,Senior Staff,2000-05-07,40000
54198,Shaowen,Segond,Engineer,1986-01-06,40000
54198,Shaowen,Segond,Senior Engineer,1993-01-06,40000
54632,Etsuo,Serot,Senior Staff,1997-06-14,43788
54632,Etsuo,Serot,Staff,1989-06-14,43788
54795,Sumant,Nergos,Staff,1993-05-07,40000
54800,Breannda,Cangellaris,Staff,2000-01-27,74827
55121,Toshiko,Alblas,Engineer,1995-07-20,55774
55799,Jianwen,Litzler,Engineer,1987-06-17,61980
55640,Adit,Syrotiuk,Engineer,1993-07-16,40000
55640,Adit,Syrotiuk,Senior Engineer,1999-07-16,40000
55670,Ulf,Ranft,Senior Staff,1990-03-25,63760
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,40000
55799,Jianwen,Litzler,Senior Engineer,1993-06-16,61980
55857,Adin,Scallan,Senior Staff,1996-09-14,70416
55857,Adin,Scallan,Staff,1987-09-15,70416
56209,Remzi,Douceur,Engineer,1992-12-01,54373
56105,Makato,Remmers,Engineer,1989-04-16,40000
56105,Makato,Remmers,Senior Engineer,1994-04-16,40000
56209,Remzi,Douceur,Senior Engineer,1998-12-01,54373
56415,Sigeru,Nivat,Senior Staff,1999-10-24,51148
56415,Sigeru,Nivat,Staff,1991-10-24,51148
56428,Olivera,Hanabata,Senior Staff,1992-11-09,43255
56428,Olivera,Hanabata,Staff,1986-11-10,43255
56829,Nagui,Gruenwald,Engineer,1995-12-24,40000
56682,Roded,Picco,Assistant Engineer,1993-11-06,40000
56847,Menkae,Chinin,Senior Engineer,1989-08-19,44031
57934,Sanjoy,Boudaillier,Engineer,1989-12-27,82396
57982,Paloma,Benzaken,Senior Staff,1989-10-17,55662
57934,Sanjoy,Boudaillier,Senior Engineer,1997-12-27,82396
58217,Kiyotoshi,Kusalik,Engineer,1998-11-19,43222
58141,Bezalel,Karner,Staff,1994-09-27,46317
58147,Shigenori,Sullins,Senior Staff,1988-02-24,55703
58384,Mariusz,Vural,Engineer,1993-11-14,40000
58384,Mariusz,Vural,Senior Engineer,2001-11-14,40000
58601,Sungwon,Asser,Staff,2000-01-27,67956
58454,Ziya,Zambonelli,Engineer,1999-06-29,44411
58990,Palash,Trelles,Engineer,1998-11-18,47785
58497,Yechiam,Cairo,Senior Staff,1996-07-12,90613
58819,Gennady,Liesche,Senior Staff,1987-12-02,71147
59195,Ronnie,Pollock,Technique Leader,1990-06-19,50132
59869,Zsolt,Riefers,Senior Staff,1994-09-25,56247
59329,Zissis,Bazzichi,Staff,1987-02-07,40000
59640,Zita,Hiltgen,Staff,1999-01-26,45566
59661,Saeko,Baik,Staff,1996-05-23,49077
59869,Zsolt,Riefers,Staff,1987-09-25,56247
60000,Heekeun,Emmart,Assistant Engineer,1995-09-23,60002
60000,Heekeun,Emmart,Engineer,2001-09-22,60002
59966,Steen,Salvesen,Technique Leader,1993-02-03,40000
60091,Surveyors,Bade,Senior Staff,1996-04-10,46436
60091,Surveyors,Bade,Staff,1990-04-11,46436
60238,Erzsebet,Claffy,Staff,1997-03-03,73612
60559,Jeanna,Stemann,Engineer,1988-08-29,41261
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,41261
60959,Tetsushi,Sridhar,Senior Staff,1997-01-12,62352
60821,Moty,Mersereau,Senior Staff,1999-09-03,44481
60821,Moty,Mersereau,Staff,1991-09-03,44481
60959,Tetsushi,Sridhar,Staff,1989-01-12,62352
60845,Bedir,Siegrist,Engineer,1997-05-13,71431
61253,Cheong,Uhrik,Engineer,1996-06-04,40000
60875,Rildo,Masaki,Engineer,1990-01-14,41164
60875,Rildo,Masaki,Senior Engineer,1997-01-14,41164
61147,Leszek,Werthner,Staff,1999-03-03,64737
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,40000
61541,Kasidit,Papsdorf,Engineer,1993-08-17,49649
61377,Dannz,Ohori,Senior Staff,1994-01-17,40000
61377,Dannz,Ohori,Staff,1988-01-18,40000
61541,Kasidit,Papsdorf,Senior Engineer,1999-08-17,49649
61983,Sastry,Reeken,Staff,1990-07-24,66992
61680,Hauke,Templeman,Staff,1991-10-23,53505
61873,Woody,Rusmann,Assistant Engineer,1993-02-26,40000
61873,Woody,Rusmann,Engineer,2002-02-26,40000
62167,Mihalis,Haldar,Senior Engineer,1998-05-11,40000
62245,Adel,Bressoud,Engineer,1995-08-30,40000
62033,Heeju,Cappelli,Engineer,1987-01-15,69343
